# X^3 + Y^3 = A^4 + B^4
# primitive nontrivial, X>=Y>0, A>=B>0, gcd(X,Y,A,B)=1
# sum branch, A,B <= 10^7
# n=7629
X,Y,A,B
7456929,5723648,155228,68135
69843057,51430064,830929,68278
37751218,1998425,481581,68712
4150120,3767841,100605,68894
432719473,288510040,3201391,69346
22599825,6508816,329556,69355
46622137,44744162,660996,69435
3903397,1421389,79051,69473
188295313,53578945,1616599,69731
21108233,19658770,360972,70071
110169816,108084145,1269800,70317
42229625,20425738,538047,70398
3574656,2919121,82311,70462
3459200,3010353,81229,70808
395061545,181345353,2867627,71063
5765857,741184,113527,71396
3872410,244361,75270,71397
4833977,3031879,103452,71604
3693848,3361985,88751,71652
5759112,631409,113248,71939
6818497,4511592,139787,72090
8958736,6515521,176392,72433
73978925,22389043,803142,72738
48130850,23543593,594033,72888
91653017,10267474,937041,73074
4083905,3073136,90997,73110
43721906,34114585,592515,73236
17557897,9528314,281157,73398
1001314735,997310801,6683976,73500
108283937,16267872,1062400,73543
6708165,4085533,135863,73593
113317472,56828769,1131404,73751
196297009,87001057,1693357,73769
9496663,7936265,190842,73926
263989687,10499657,2071080,73992
72285232,23236609,790363,74438
4414538,2452345,91263,74862
40894497,37084784,587779,75806
654912413,567143285,4639493,75831
7676689,1472128,143285,76408
508299408,482948449,3952160,76713
24545026,2907305,348657,76740
469487857,447412768,3727480,76835
5008881,1518401,98381,77183
49053353,35437545,634913,77227
153309345,6658928,1377794,77347
5872513,2888080,117496,77473
19954315,1500533,298248,77592
6639969,5024608,139881,77860
33784784,22721313,473474,77885
638672368,532678257,4504380,77885
11552869,2959677,197801,78039
186215648,98634065,1650267,78392
19282469,2256187,290718,78438
1409717408,89228529,7275730,78449
7756017,7012624,166762,78543
12450761,49186,208521,79296
297146289,76759336,2272915,79740
17743368,1424545,272922,79901
7189858,2499065,136428,79947
13303352,3677217,220483,79990
339145401,187835321,2599117,80623
5268335,1906753,102552,80766
29794752,18081569,423997,80866
1005102873,993264809,6683485,80933
986364785,312754328,5609644,81021
46547144,6638097,563881,81238
23073681,10904320,341100,81323
324581888,157214849,2484155,82194
30691085,2068771,412212,82230
121274232,2401393,1155645,82340
124614337,78322847,1246674,82530
51404177,17170784,612612,82901
173412589,121665477,1627491,83177
8270075,3114853,152922,83658
1244129040,413828113,6684562,83991
350776369,111211777,2583323,84151
10781553,1880744,186470,84463
6298977,2500784,121043,84466
4686073,4271879,106704,84600
140501193,34530809,1295263,84625
212650849,10495792,1761014,84883
39175409,7750032,496024,85283
238333584,173594897,2081431,85354
9014529,1147712,161528,85441
10875873,566504,187340,86071
415879135,182237393,2971644,86334
1413605313,960589000,7805073,86804
25823873,14304225,376487,86929
36544952,24890529,503308,86951
886571040,631960433,5550653,87128
1648289969,821005472,8422207,87378
11981137,9911169,226569,87389
115692121,113769026,1318371,87504
1420696665,1202819833,8238941,87543
4748057,2558818,89505,87870
8039365,563051,146460,87882
144116561,67897256,1348441,87966
117644496,95916305,1258763,88060
6866033,5972280,147706,88273
266077537,96141384,2107466,88467
19119761,18651576,340336,88661
7252449,3113488,136755,88694
50940898,34484969,645057,88860
36416011,6110501,469182,88872
15186768,2663857,242515,88920
14111941,9125725,243365,88931
22931501,17936421,365081,89573
15110033,4380600,242696,89621
7296146,4053385,140550,89709
8189965,2527523,149586,89724
83670648,44762705,906542,89831
4748231,3891769,100140,89940
393496593,235580840,2933003,90368
664076123,149573845,4148556,90558
247050881,229459680,2282875,90602
46513169,15251312,568032,90763
12738266,7635961,222348,90813
492117496,242972721,3399308,90957
50293601,32573025,634135,91049
5187680,878033,91708,91323
70137634,24028457,773967,91332
651343248,196093009,4104690,91367
19217921,4341176,290367,91748
46907904,12715697,569512,91757
9119989,5451261,170715,91855
1222019305,981355753,7254697,92131
52225953,29455384,640153,92220
6691361,1407201,123157,92221
6450329,4615783,130776,92820
545984746,170566121,3598704,92889
8984506,5477369,168945,93030
709822657,563579904,4813073,93264
196441361,98201280,1708853,93640
243988248,35714705,1953737,93922
224357929,56728946,1840545,94080
10657305,6896953,195479,94083
961089465,606872521,5773695,94337
37765744,7866033,482660,94419
62356541,42424965,751381,94555
60398688,7132289,685345,94964
5434735,1802993,95826,95178
7139265,3712088,134978,95477
73023829,31660077,805533,95507
9593449,4344842,172308,95577
36829033,32968154,541065,95676
11877649,4307992,202199,95762
947338689,82863697,5400719,95931
8094529,3626968,149035,95942
6139033,449210,110037,95976
11194453,9003405,212709,96173
6071221,3227821,114493,96181
10977377,6408449,196801,96279
31624512,12205409,427372,96407
21406769,365832,314012,96589
13838321,2267976,225256,96611
1264265968,575854849,6857765,96722
12799713,5152600,215223,96904
10223328,10036865,211231,97072
7195169,1227312,129661,97858
8659616,1403825,153830,97983
241894789,122837627,2000232,98232
203178001,18319096,1702103,98678
787367744,17802737,4700396,98979
27150001,2566120,375745,99182
131062285,127752373,1443037,99421
119633200,108144513,1313531,99582
13414785,8849888,234202,99653
36092873,8254519,466800,99768
105839712,4658017,1043486,99885
90557937,81947464,1066319,99918
59033120,29359281,693220,99923
1452148449,533126177,7529257,99929
9738353,6791969,183625,99987
34804240,7842321,454155,100016
212182433,157507280,1915414,100131
8102497,6454512,162665,100176
24208161,12393400,355596,100295
145971329,78331352,1376571,100402
6645649,1282847,118002,100428
5255592,4346849,105302,101069
173754016,145963665,1700169,101150
1829138930,612115993,8926467,101184
6243472,4207009,120797,101206
15939389,12414357,276619,101911
10493213,10028515,212928,102036
137603121,23153080,1271987,102180
14457297,241889,232309,102247
221789909,42856317,1820689,102349
103243333,36245629,1035107,102365
202908545,46773816,1705280,102433
123591923,13891645,1172574,102636
1107518480,163966673,6075961,102726
29805537,16384424,418807,102832
15403761,4017136,245076,102941
178920609,35823328,1550105,103128
18103089,3535072,276723,103132
534937825,367828008,3773897,103272
6870177,6530464,148707,103274
6741509,6193757,143917,103557
149805729,100035128,1445248,103705
1188397117,971292707,7137090,104178
7823920,6440353,158311,104212
9958881,831376,171721,104388
10406929,3001672,179368,104459
347631384,78463297,2553173,104538
35478321,27265216,504546,104993
11125487,666817,188190,105336
105353504,76439553,1127461,105610
9922465,2611416,171756,105625
6454673,1845584,110775,105658
56433121,18884640,657010,105741
18188765,13284981,301261,105745
9154816,1475809,159305,106040
299087601,216069281,2463683,106169
22622616,3262385,327358,106495
27749362,23586089,430533,106974
8814218,3447049,156120,107121
105654609,47582768,1065113,107210
42655448,12898689,531205,107234
109737272,8374209,1072267,107378
10071905,794623,172446,108366
20059936,18755265,347178,109045
26669456,544161,370418,109283
7346993,2293584,127684,109325
555590047,69033569,3620544,109488
814355741,551970835,5158740,110142
13543837,2996579,220452,110568
55092273,3243320,639356,110669
112064288,37862625,1099507,110794
9006200,8999633,190164,110981
31870712,8326737,425554,111385
738676145,173222928,4495021,111392
201010544,187334913,1957946,111515
914063544,692531617,5753574,111581
26347969,12694432,376907,111782
