# primitive nontrivial: X^3 +- Y^3 = A^4 + B^4, X>=Y, A>=B, gcd=1
# k=4  M=30000000  branch=sum
# X,Y,A,B,sign   (sign '+' means X^3+Y^3, '-' means X^3-Y^3)
7823920,6440353,158311,104212,+
9236721,3316376,158749,117316,+
7113713,6559880,158906,46449,+
9154816,1475809,159305,106040,+
8245049,4686682,159597,61884,+
8690785,858648,159849,45152,+
9452410,5261753,160173,134988,+
9014529,1147712,161528,85441,+
8152585,5190153,161549,27351,+
10792000,966001,162001,154450,+
8102497,6454512,162665,100176,+
10248904,2651457,163324,139953,+
8996920,174993,163806,53641,+
9992591,6126625,163860,150042,+
8834601,3366281,163961,47243,+
8044209,8031632,164161,132946,+
7472465,6919183,164418,64866,+
9139537,994344,165669,57752,+
9718481,6061425,166489,138905,+
7756017,7012624,166762,78543,+
7975953,6491560,166923,46288,+
9190149,1742173,166923,47555,+
10308253,4531269,166959,142415,+
8984506,5477369,168945,93030,+
9299720,2592753,169309,5236,+
10838056,2550481,170041,145942,+
11196232,830049,170162,154221,+
9119989,5451261,170715,91855,+
8621384,5939553,170729,29140,+
9958881,831376,171721,104388,+
9922465,2611416,171756,105625,+
9593449,4344842,172308,95577,+
10071905,794623,172446,108366,+
10245009,4103792,172678,126409,+
9127528,6823665,173332,115101,+
8319487,6970289,173418,56292,+
9557793,3417200,173827,12602,+
10810817,3565224,174794,139189,+
12029210,3250441,175035,170058,+
10240241,3645936,175234,115727,+
8958736,6515521,176392,72433,+
8576397,7127429,177323,45319,+
11638920,7241713,177614,176079,+
10040488,695505,177927,56654,+
10736856,7478065,178739,158760,+
10406929,3001672,179368,104459,+
9830097,4579432,179835,10052,+
10326465,5919568,179936,127023,+
9844666,4650905,180210,15369,+
8177021,8117445,181291,34555,+
10156293,3645389,181465,58501,+
8580637,8558099,181512,114702,+
10111137,9156337,181729,163275,+
11106353,6198680,182766,148961,+
9738353,6791969,183625,99987,+
10162317,4691477,184117,43565,+
10781553,1880744,186470,84463,+
10315082,5161129,186642,68109,+
10412985,4427353,186733,7497,+
10464601,4231175,186918,31770,+
10875873,566504,187340,86071,+
10371202,4911257,187425,12126,+
11125487,666817,188190,105336,+
11556608,6294017,189540,149695,+
9006200,8999633,190164,110981,+
10958597,26397,190417,34015,+
11476321,839040,190770,117037,+
11845793,7356175,190836,164598,+
9496663,7936265,190842,73926,+
12275329,814432,191402,150139,+
12132440,5006193,191983,153338,+
11453904,6635537,192629,142984,+
12229577,3006729,193217,146651,+
10735024,5591617,193813,31018,+
9025648,8876865,193962,66347,+
11056989,4239557,194323,37931,+
11298352,1279489,194948,6209,+
10657305,6896953,195479,94083,+
9106897,9047064,196658,16569,+
10977377,6408449,196801,96279,+
9323035,8852501,196932,13230,+
11552869,2959677,197801,78039,+
12786809,491143,198216,152940,+
12612632,9301457,200187,186320,+
10227776,8252849,200360,67245,+
12082097,4392584,200513,123414,+
12559512,6364769,200618,157741,+
11123505,6419848,201006,53983,+
13263425,1134776,201045,162718,+
11877649,4307992,202199,95762,+
11899840,1116193,202361,55636,+
10800184,8496337,202654,116857,+
13955683,8615885,204174,200616,+
12339192,5901377,204565,135094,+
12768465,3284896,204840,137413,+
10676673,8233585,205181,41169,+
14870674,5666201,206070,202065,+
11261920,7624113,207807,50858,+
12450761,49186,208521,79296,+
12429041,10821720,208975,189158,+
15488545,1815136,209704,205625,+
10223328,10036865,211231,97072,+
11068848,8723489,211570,63613,+
12537385,8714473,211901,157561,+
11194453,9003405,212709,96173,+
10493213,10028515,212928,102036,+
14109681,7544720,213745,184198,+
12799713,5152600,215223,96904,+
11579341,8427141,215271,43237,+
11544880,8479233,215292,7489,+
14103890,5509801,215820,168351,+
13429237,8275307,216306,168150,+
15772869,1591357,216557,203907,+
13793073,5748224,218125,153164,+
12985105,4447953,218447,24231,+
11953189,10706157,220041,155899,+
13543837,2996579,220452,110568,+
13303352,3677217,220483,79990,+
13373953,1535064,221019,55450,+
12738266,7635961,222348,90813,+
15378733,10009125,222729,216053,+
15049928,2572209,222872,175955,+
11561129,10565047,223446,123378,+
13719106,4729481,223974,114429,+
16363569,4391848,224074,210015,+
12351425,8822328,225169,24796,+
13838321,2267976,225256,96611,+
16186320,5204993,226111,205052,+
11981137,9911169,226569,87389,+
14709605,6795293,227607,168847,+
14240635,4795013,228852,126396,+
14089269,8757853,230187,160345,+
12063409,10936648,230992,121325,+
14422879,9126737,231048,173718,+
11406913,11124705,231263,28263,+
16158539,9274597,231564,215118,+
11828565,10766141,232117,12295,+
14205442,3394697,232170,20541,+
14457297,241889,232309,102247,+
14110421,5812061,234147,10487,+
13414785,8849888,234202,99653,+
14089280,10647281,234915,175952,+
13303936,12033841,236488,176461,+
13034856,9722705,236600,18011,+
13623825,8665328,237442,29929,+
13821000,8366641,238175,52794,+
12981425,10117368,238268,21203,+
12520753,10871184,238722,3745,+
11951761,11673136,239509,51724,+
15148909,3603347,239796,121344,+
15608120,3222561,240146,150275,+
17992181,6383645,240365,228927,+
12617573,11081405,240549,67939,+
14858033,9003120,240653,160028,+
16800067,4178717,240690,195426,+
14322385,7581743,240828,56232,+
18340816,5753745,241640,233067,+
14918359,4663337,241812,39792,+
14327160,9536993,241933,139838,+
15186768,2663857,242515,88920,+
16324097,12059249,242687,226563,+
14372381,7937925,242689,14225,+
15110033,4380600,242696,89621,+
18125314,6866777,242718,230193,+
14111941,9125725,243365,88931,+
12956488,11049409,243532,50705,+
14397888,8244145,243978,36289,+
15403761,4017136,245076,102941,+
15679937,3643832,245394,129035,+
15797161,1472066,246828,123633,+
15478903,3474665,247206,63354,+
15272241,5918960,247775,25906,+
16532081,6694296,247811,179888,+
15993817,14210649,248439,236933,+
15568560,10329121,249884,176775,+
16324409,3608057,249897,149339,+
16377173,6580205,250067,166419,+
15778337,5209824,252448,53191,+
14521865,14076153,254237,202261,+
16069954,8660777,255279,153336,+
19963329,3471512,256139,246526,+
17642153,4338439,256242,188460,+
16766433,1714369,257219,135885,+
15932033,7292760,257989,36994,+
16775003,4473349,258282,137730,+
14554657,12542544,258297,156844,+
17521360,259761,258625,173454,+
15321920,10414641,259169,121090,+
16448875,4405493,259518,13554,+
18241663,3213185,260088,197688,+
15700745,11105098,260538,158571,+
17603593,1696329,260565,170767,+
19146433,9913960,263798,236917,+
18197681,10213041,265259,215099,+
20637161,2065305,265279,249025,+
17183745,10941616,265760,193281,+
16856081,6005400,265973,34880,+
17125352,9399969,266216,169753,+
19226525,13059941,266825,255567,+
18020321,2899505,267963,163825,+
17235593,3492825,268051,17779,+
15086976,12916001,268157,142982,+
16800081,12079400,270425,184402,+
17413781,4401021,270649,17899,+
17707633,7514255,271644,151848,+
17743368,1424545,272922,79901,+
17857994,7750777,273108,156333,+
20258221,13763029,274355,269245,+
18319485,7562453,274589,172991,+
17005697,12391344,275512,180383,+
17877232,4136049,275779,11412,+
19606697,684154,276003,204078,+
15939389,12414357,276619,101911,+
18103089,3535072,276723,103132,+
17837096,14082881,276843,225682,+
17388761,16100770,277560,243171,+
22683872,2145969,279853,272924,+
17557897,9528314,281157,73398,+
18532944,2578897,282554,54393,+
17559397,10023069,282961,56727,+
18483673,5674199,283914,15060,+
19641649,12967528,285476,236275,+
21983992,3406657,285754,251435,+
19195657,10468514,287304,193671,+
18884080,7108801,287620,125743,+
16906560,15037553,287741,192664,+
18207392,9711857,288753,4610,+
19148584,5185777,289064,115619,+
19217921,4341176,290367,91748,+
19027064,10769793,290399,178960,+
19282469,2256187,290718,78438,+
22193792,652049,290891,247824,+
22189541,14302795,290994,285900,+
20575121,3352785,291245,198509,+
18806041,17275031,292026,259488,+
17897033,11607929,292205,49899,+
16911065,13650586,293040,49179,+
16783133,14474085,295067,115739,+
19188869,8228237,295479,9979,+
19496767,6091889,295602,37152,+
20400241,6840815,297858,175050,+
19954315,1500533,298248,77592,+
21096369,5279872,298497,199918,+
21693673,17814050,299868,296961,+
23877265,6781368,300117,276112,+
18188765,13284981,301261,105745,+
20329673,8628610,301566,166803,+
19936401,11082065,301985,176407,+
21370265,16703321,302537,278805,+
21922704,5341777,302598,219097,+
17052048,16440449,303905,171836,+
20633984,5130977,303991,139668,+
20413274,10543657,304818,179811,+
23033941,2592731,305088,244518,+
18157425,13962296,305341,63080,+
18198493,14412165,305553,132049,+
20979089,2396897,306281,145419,+
20152048,9948849,307752,118675,+
18320701,14346805,308815,52357,+
24176872,3349729,309389,266006,+
17448191,15736321,309684,57744,+
22290552,2910209,309884,208193,+
19211905,13236328,310139,112166,+
20241873,9914360,310277,13832,+
22011688,8109745,311533,205376,+
19828416,15260945,311756,208885,+
22719121,6998056,311927,225862,+
20357608,10448305,312833,6386,+
21406769,365832,314012,96589,+
22761109,17878173,315955,294681,+
20663257,16606247,316152,241680,+
18694859,15920437,316512,151944,+
21572915,7426813,317178,134652,+
20939377,10298769,318367,10017,+
22112769,2366032,318591,151264,+
20924225,10526328,318671,62044,+
21799485,3417893,319319,40313,+
21147337,11076839,322398,59772,+
25262417,4085312,324264,267685,+
21041233,15039839,326196,193290,+
20063209,14850167,326406,6642,+
22622616,3262385,327358,106495,+
21332981,15503981,327603,209243,+
25846049,3979128,327832,275705,+
24521144,13001793,329365,268198,+
